"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Dean Anna","Royals (AAA)","30","50","163","188","44","34","6","2","2","23","18","19","0","24","3","0","3","6","1","1",".270","8353"
"Xorge Carrillo","Mets (AAA)","28","37","126","138","34","22","7","0","5","15","20","11","1","31","1","0","0","2","0","0",".270","sa392212"
"Moises Sierra","Marlins (AAA)","28","63","215","241","58","37","13","0","8","32","39","23","0","41","2","1","0","12","7","2",".270","6050"
"Ryan Lavarnway","Athletics (AAA)","29","48","152","179","41","29","8","0","4","24","18","22","0","36","4","1","0","9","0","1",".270","8879"
"Brandon Barnes","Marlins (AAA)","31","61","235","262","63","46","9","2","6","33","26","25","2","68","1","1","0","4","10","5",".268","629"
"Rocky Gale","Padres (AAA)","29","48","157","174","42","32","9","0","1","21","16","12","0","24","2","2","1","6","0","0",".268","10533"
"Taylor Davis","Cubs (AAA)","27","53","172","205","46","34","9","0","3","17","27","26","0","22","0","5","2","9","0","3",".267","sa578786"
"Preston Tucker","Astros (AAA)","26","61","247","273","66","42","10","2","12","35","50","18","0","44","1","6","0","5","0","0",".267","13633"
"Pat Valaika","Rockies (AAA)","24","11","45","50","12","8","2","1","1","6","11","4","0","11","0","0","1","0","0","0",".267","14885"
"Charlie Culberson","Dodgers (AAA)","28","55","199","216","53","41","7","2","3","18","20","15","2","41","0","0","2","7","2","0",".266","3298"
"Josh Rodriguez","Mets (AAA)","32","49","154","168","41","28","3","2","8","21","22","12","0","44","2","0","0","2","2","1",".266","5716"
"Preston Beck","Rangers (AAA)","26","42","154","174","41","31","8","2","0","23","17","16","1","30","1","3","0","7","2","1",".266","sa621361"
"Dustin Ackley","Angels (AAA)","29","55","218","246","58","43","13","1","1","35","29","25","1","32","1","1","1","9","1","0",".266","10099"
"Gordon Beckham","Mariners (AAA)","30","18","64","70","17","11","2","0","4","10","7","4","0","8","2","0","0","0","1","0",".266","9015"
"Luis Marte","Rangers (AAA)","23","41","151","153","40","31","7","2","0","10","10","1","1","22","1","0","0","2","5","0",".265","sa597106"
"Tyler Smith","Mariners (AAA)","26","50","170","193","45","32","8","0","5","19","18","19","0","39","2","1","1","8","3","4",".265","12490"
"Kristopher Negron","Diamondbacks (AAA)","31","59","174","205","46","33","6","4","3","28","28","23","0","54","3","2","3","6","2","2",".264","5306"
